,FileName,Evaluation
0,MUSE_20180712_151257_94000,1
1,MUSE_20180712_151310_38000,0
2,MUSE_20180712_151311_47000,1
3,MUSE_20180712_151313_64000,1
4,MUSE_20180712_151314_75000,1
5,MUSE_20180712_151315_84000,1
6,MUSE_20180712_151316_95000,0
7,MUSE_20180712_151318_06000,1
8,MUSE_20180712_151319_16000,1
9,MUSE_20180712_151320_23000,0
10,MUSE_20180712_151321_33000,1
11,MUSE_20180712_151323_53000,1
12,MUSE_20180712_151331_61000,1
13,MUSE_20180712_151332_75000,1
14,MUSE_20180712_151333_86000,1
15,MUSE_20180712_151334_97000,1
16,MUSE_20180712_151337_81000,0
17,MUSE_20180712_151338_98000,1
18,MUSE_20180712_151341_14000,1
19,MUSE_20180712_151342_20000,0
20,MUSE_20180712_151350_28000,1
21,MUSE_20180712_151351_36000,1
22,MUSE_20180712_151352_44000,1
23,MUSE_20180712_151353_58000,1
25,MUSE_20180712_151356_80000,1
26,MUSE_20180712_151357_86000,1
27,MUSE_20180712_151403_38000,1
28,MUSE_20180712_151405_56000,1
29,MUSE_20180712_151406_64000,1
30,MUSE_20180712_151407_70000,1
31,MUSE_20180712_151415_77000,1
32,MUSE_20180712_151416_86000,1
34,MUSE_20180712_151418_98000,1
35,MUSE_20180712_151421_14000,0
36,MUSE_20180712_151423_33000,1
37,MUSE_20180712_151425_50000,0
38,MUSE_20180712_151426_58000,1
39,MUSE_20180712_151427_64000,0
40,MUSE_20180712_151428_70000,1
41,MUSE_20180712_151430_89000,1
42,MUSE_20180712_151431_98000,1
43,MUSE_20180712_151442_45000,0
44,MUSE_20180712_151443_52000,1
45,MUSE_20180712_151444_59000,1
46,MUSE_20180712_151445_67000,1
47,MUSE_20180712_151446_75000,1
48,MUSE_20180712_151447_88000,0
49,MUSE_20180712_151448_94000,1
50,MUSE_20180712_151450_00000,1
51,MUSE_20180712_151451_06000,1
52,MUSE_20180712_151452_19000,1
53,MUSE_20180712_151453_25000,1
54,MUSE_20180712_151455_45000,1
55,MUSE_20180712_151456_55000,1
56,MUSE_20180712_151505_72000,1
57,MUSE_20180712_151506_81000,1
58,MUSE_20180712_151507_88000,0
59,MUSE_20180712_151508_95000,1
60,MUSE_20180712_151510_03000,1
61,MUSE_20180712_151511_11000,1
62,MUSE_20180712_151512_19000,1
63,MUSE_20180712_151513_25000,1
64,MUSE_20180712_151514_33000,0
65,MUSE_20180712_151515_41000,1
66,MUSE_20180712_151517_58000,0
67,MUSE_20180712_151518_64000,1
68,MUSE_20180712_151519_70000,1
69,MUSE_20180712_151520_81000,1
70,MUSE_20180712_151529_98000,1
71,MUSE_20180712_151531_08000,1
72,MUSE_20180712_151532_16000,1
73,MUSE_20180712_151533_45000,1
74,MUSE_20180712_151534_58000,1
75,MUSE_20180712_151535_64000,1
76,MUSE_20180712_151536_70000,1
77,MUSE_20180712_151538_84000,1
80,MUSE_20180712_151542_11000,1
81,MUSE_20180712_151543_20000,1
82,MUSE_20180712_151544_28000,0
83,MUSE_20180712_151545_47000,1
84,MUSE_20180712_151546_59000,1
85,MUSE_20180712_151554_69000,1
86,MUSE_20180712_151555_78000,1
87,MUSE_20180712_151556_89000,1
88,MUSE_20180712_151557_98000,1
89,MUSE_20180712_151559_09000,1
90,MUSE_20180712_151600_19000,1
91,MUSE_20180712_151601_28000,0
92,MUSE_20180712_151602_38000,1
93,MUSE_20180712_151603_47000,1
94,MUSE_20180712_151604_58000,1
95,MUSE_20180712_151607_86000,1
96,MUSE_20180712_151608_97000,1
97,MUSE_20180712_151618_17000,0
98,MUSE_20180712_151620_31000,1
99,MUSE_20180712_151621_47000,0
